date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:41:59	3416/3416	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Feb%202021%2014:46:38%20GMT	https://www.immoricon.com/storage/app/media/icons/networking.png	C:/xampp/htdocs/bussines/www.immoricon.com/storage/app/media/icons/networking.png	(from https://www.immoricon.com/)
11:41:59	3061/3061	---M--	200	added ('OK')	image/png	date:Thu,%2011%20Mar%202021%2000:10:18%20GMT	https://www.immoricon.com/storage/app/media/icons/handshake.png	C:/xampp/htdocs/bussines/www.immoricon.com/storage/app/media/icons/handshake.png	(from https://www.immoricon.com/)
11:42:00	25157/25157	---M--	200	added ('OK')	image/jpeg	date:Mon,%2025%20Jan%202021%2004:02:34%20GMT	https://www.immoricon.com/themes/immoricon/assets/images/home/numbers-section.jpg	C:/xampp/htdocs/bussines/www.immoricon.com/themes/immoricon/assets/images/home/numbers-section.jpg	(from https://www.immoricon.com/)
11:42:00	115078/115078	---M--	200	added ('OK')	image/jpeg	date:Tue,%2005%20Aug%202025%2022:51:38%20GMT	https://www.immoricon.com/storage/app/uploads/public/a08/77b/ebd/thumb__520_480_0_0_crop.jpg	C:/xampp/htdocs/bussines/www.immoricon.com/storage/app/uploads/public/a08/77b/ebd/thumb__520_480_0_0_crop.jpg	(from https://www.immoricon.com/)
11:42:00	2399/2399	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Feb%202021%2014:46:38%20GMT	https://www.immoricon.com/storage/app/media/icons/contract.png	C:/xampp/htdocs/bussines/www.immoricon.com/storage/app/media/icons/contract.png	(from https://www.immoricon.com/)
11:42:01	1375/1375	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Feb%202021%2014:46:38%20GMT	https://www.immoricon.com/storage/app/media/icons/pathway.png	C:/xampp/htdocs/bussines/www.immoricon.com/storage/app/media/icons/pathway.png	(from https://www.immoricon.com/)
11:42:01	1449/1449	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Feb%202021%2014:46:38%20GMT	https://www.immoricon.com/storage/app/media/icons/laptop.png	C:/xampp/htdocs/bussines/www.immoricon.com/storage/app/media/icons/laptop.png	(from https://www.immoricon.com/)
11:42:01	3163/3163	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Feb%202021%2014:46:38%20GMT	https://www.immoricon.com/storage/app/media/icons/currency.png	C:/xampp/htdocs/bussines/www.immoricon.com/storage/app/media/icons/currency.png	(from https://www.immoricon.com/)
11:42:01	1763/1763	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Feb%202021%2014:46:38%20GMT	https://www.immoricon.com/storage/app/media/icons/chart.png	C:/xampp/htdocs/bussines/www.immoricon.com/storage/app/media/icons/chart.png	(from https://www.immoricon.com/)
11:42:02	23333/23333	---M--	200	added ('OK')	image/jpeg	date:Wed,%2017%20Feb%202021%2014:46:38%20GMT	https://www.immoricon.com/storage/app/media/homepage/contract.jpg	C:/xampp/htdocs/bussines/www.immoricon.com/storage/app/media/homepage/contract.jpg	(from https://www.immoricon.com/)
11:42:02	8528/8528	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Feb%202021%2014:46:38%20GMT	https://www.immoricon.com/plugins/martin/forms/assets/imgs/upload.png	C:/xampp/htdocs/bussines/www.immoricon.com/plugins/martin/forms/assets/imgs/upload.png	(from https://www.immoricon.com/)
11:42:03	212785/212785	---M--	200	added ('OK')	image/jpeg	date:Tue,%2005%20Aug%202025%2022:52:56%20GMT	https://www.immoricon.com/storage/app/media/contact/Contact_us.jpg	C:/xampp/htdocs/bussines/www.immoricon.com/storage/app/media/contact/Contact_us.jpg	(from https://www.immoricon.com/)
11:42:04	32943/32943	---M-Z	200	added ('OK')	text/html	date:Sat,%2013%20Sep%202025%2009:42:02%20GMT	https://www.immoricon.com/blog/post/product-sourcing-from-balkans	C:/xampp/htdocs/bussines/www.immoricon.com/blog/post/product-sourcing-from-balkans.html	(from https://www.immoricon.com/)
11:42:04	30256/30256	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Sep%202025%2009:42:03%20GMT	https://www.immoricon.com/blog/post/types-foam-used-sleeping-industry	C:/xampp/htdocs/bussines/www.immoricon.com/blog/post/types-foam-used-sleeping-industry.html	(from https://www.immoricon.com/)
11:42:04	3366193/3366193	---M--	200	added ('OK')	image/png	date:Wed,%2012%20Apr%202023%2015:49:16%20GMT	https://www.immoricon.com/storage/app/uploads/public/414/4dc/f39/thumb__1200_700_0_0_crop.png	C:/xampp/htdocs/bussines/www.immoricon.com/storage/app/uploads/public/414/4dc/f39/thumb__1200_700_0_0_crop.png	(from https://www.immoricon.com/)
11:42:04	29192/29192	---M-Z	200	added ('OK')	text/html	date:Sat,%2013%20Sep%202025%2009:42:03%20GMT	https://www.immoricon.com/blog/post/how-choose-best-duvets-your-business	C:/xampp/htdocs/bussines/www.immoricon.com/blog/post/how-choose-best-duvets-your-business.html	(from https://www.immoricon.com/)
11:42:05	29019/29019	---M-Z	200	added ('OK')	text/html	date:Sat,%2013%20Sep%202025%2009:42:04%20GMT	https://www.immoricon.com/blog/post/together-we-move-towards-sustainability-success	C:/xampp/htdocs/bussines/www.immoricon.com/blog/post/together-we-move-towards-sustainability-success.html	(from https://www.immoricon.com/)
11:42:05	1006/1006	---M--	200	added ('OK')	image/png	date:Wed,%2027%20Jan%202021%2003:44:20%20GMT	https://www.immoricon.com/themes/immoricon/assets/images/location.png	C:/xampp/htdocs/bussines/www.immoricon.com/themes/immoricon/assets/images/location.png	(from https://www.immoricon.com/)
11:42:05	695/695	---M--	200	added ('OK')	image/png	date:Wed,%2027%20Jan%202021%2003:51:14%20GMT	https://www.immoricon.com/themes/immoricon/assets/images/mail.png	C:/xampp/htdocs/bussines/www.immoricon.com/themes/immoricon/assets/images/mail.png	(from https://www.immoricon.com/)
11:42:06	990/990	---M--	200	added ('OK')	image/png	date:Wed,%2027%20Jan%202021%2003:51:22%20GMT	https://www.immoricon.com/themes/immoricon/assets/images/phone.png	C:/xampp/htdocs/bussines/www.immoricon.com/themes/immoricon/assets/images/phone.png	(from https://www.immoricon.com/)
11:42:06	23209/23209	---M-Z	200	added ('OK')	text/html	date:Sat,%2013%20Sep%202025%2009:42:05%20GMT	https://www.immoricon.com/privacy-policy	C:/xampp/htdocs/bussines/www.immoricon.com/privacy-policy.html	(from https://www.immoricon.com/)
11:42:06	89476/89476	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-15d84%22	https://code.jquery.com/jquery-3.5.1.min.js	C:/xampp/htdocs/bussines/code.jquery.com/jquery-3.5.1.min.js	(from https://www.immoricon.com/)
11:42:07	80821/80821	---M-Z	200	added ('OK')	application/javascript	etag:W/%2213bb5-zUKjci8NkL/tAMsum+NysHqoVi8%22	https://cdn.jsdelivr.net/npm/bootstrap@5.0.0-beta1/dist/js/bootstrap.bundle.min.js	C:/xampp/htdocs/bussines/cdn.jsdelivr.net/npm/bootstrap@5.0.0-beta1/dist/js/bootstrap.bundle.min.js	(from https://www.immoricon.com/)
11:42:07	8416/8416	---M-Z	200	added ('OK')	text/javascript	date:Wed,%2017%20Feb%202021%2014:46:40%20GMT	https://www.immoricon.com/themes/immoricon/assets/vendor/wow.min.js	C:/xampp/htdocs/bussines/www.immoricon.com/themes/immoricon/assets/vendor/wow.min.js	(from https://www.immoricon.com/)
11:42:07	1415/1415	---M-Z	200	added ('OK')	text/javascript	date:Wed,%2017%20Feb%202021%2014:46:40%20GMT	https://www.immoricon.com/themes/immoricon/assets/js/main.js	C:/xampp/htdocs/bussines/www.immoricon.com/themes/immoricon/assets/js/main.js	(from https://www.immoricon.com/)
11:42:08	36132/36132	---M-Z	200	added ('OK')	text/javascript	date:Sun,%2024%20Jan%202021%2000:50:20%20GMT	https://www.immoricon.com/modules/system/assets/js/framework.js	C:/xampp/htdocs/bussines/www.immoricon.com/modules/system/assets/js/framework.js	(from https://www.immoricon.com/)
11:42:08	7896/7896	---M-Z	200	added ('OK')	text/javascript	date:Sun,%2024%20Jan%202021%2000:50:20%20GMT	https://www.immoricon.com/modules/system/assets/js/framework.extras.js	C:/xampp/htdocs/bussines/www.immoricon.com/modules/system/assets/js/framework.extras.js	(from https://www.immoricon.com/)
11:42:08	5937/5937	---M-Z	200	added ('OK')	text/css	date:Sun,%2024%20Jan%202021%2000:50:20%20GMT	https://www.immoricon.com/modules/system/assets/css/framework.extras.css	C:/xampp/htdocs/bussines/www.immoricon.com/modules/system/assets/css/framework.extras.css	(from https://www.immoricon.com/)
11:42:08	320/320	---M-Z	200	added ('OK')	text/javascript	date:Wed,%2017%20Feb%202021%2014:46:38%20GMT	https://www.immoricon.com/plugins/martin/forms/assets/js/inline-errors.js	C:/xampp/htdocs/bussines/www.immoricon.com/plugins/martin/forms/assets/js/inline-errors.js	(from https://www.immoricon.com/)
11:42:09	65622/65622	---M-Z	200	added ('OK')	text/javascript	date:Wed,%2017%20Feb%202021%2014:46:38%20GMT	https://www.immoricon.com/plugins/martin/forms/assets/vendor/dropzone/dropzone.js	C:/xampp/htdocs/bussines/www.immoricon.com/plugins/martin/forms/assets/vendor/dropzone/dropzone.js	(from https://www.immoricon.com/)
11:42:09	11514/11514	---M-Z	200	added ('OK')	text/javascript	date:Wed,%2017%20Feb%202021%2014:46:38%20GMT	https://www.immoricon.com/plugins/martin/forms/assets/js/uploader.js	C:/xampp/htdocs/bussines/www.immoricon.com/plugins/martin/forms/assets/js/uploader.js	(from https://www.immoricon.com/)
11:42:09	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2013%20Sep%202025%2009:42:08%20GMT	http://cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/slick.min.js	C:/xampp/htdocs/bussines/cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/slick.min.31.delayed	(from https://www.immoricon.com/)
11:42:10	42863/42863	---M-Z	200	added ('OK')	application/javascript	etag:W/%22a76f-O0GzvJVmhQFaNHoiOOcdsp36Dbs%22	https://cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/slick.min.js	C:/xampp/htdocs/bussines/cdn.jsdelivr.net/npm/slick-carousel@1.8.1/slick/slick.min.js	(from https://www.immoricon.com/)
11:42:10	1422/1422	---M-Z	200	added ('OK')	image/svg+xml	date:Sun,%2024%20Jan%202021%2000:50:20%20GMT	https://www.immoricon.com/modules/system/assets/ui/images/loader-transparent.svg	C:/xampp/htdocs/bussines/www.immoricon.com/modules/system/assets/ui/images/loader-transparent.svg	(from https://www.immoricon.com/plugins/martin/forms/assets/css/uploader.css)
11:42:12	405099/405099	---M--	200	added ('OK')	image/jpeg	date:Thu,%2018%20Feb%202021%2020:24:00%20GMT	https://www.immoricon.com/storage/app/media/about/banner_new.jpg	C:/xampp/htdocs/bussines/www.immoricon.com/storage/app/media/about/banner_new.jpg	(from https://www.immoricon.com/about-us)
11:42:12	228187/228187	---M--	200	added ('OK')	image/jpeg	date:Tue,%2005%20Aug%202025%2022:47:39%20GMT	https://www.immoricon.com/storage/app/uploads/public/694/c40/22e/thumb__660_0_0_0_crop.jpg	C:/xampp/htdocs/bussines/www.immoricon.com/storage/app/uploads/public/694/c40/22e/thumb__660_0_0_0_crop.jpg	(from https://www.immoricon.com/about-us)
11:42:12	267315/267315	---M--	200	added ('OK')	image/jpeg	date:Wed,%2017%20Feb%202021%2014:46:38%20GMT	https://www.immoricon.com/storage/app/media/services/banner.jpg	C:/xampp/htdocs/bussines/www.immoricon.com/storage/app/media/services/banner.jpg	(from https://www.immoricon.com/services)
11:42:12	74939/74939	---M--	200	added ('OK')	image/jpeg	date:Tue,%2005%20Aug%202025%2018:43:59%20GMT	https://www.immoricon.com/storage/app/uploads/public/1da/e10/48b/thumb__700_400_0_0_crop.jpg	C:/xampp/htdocs/bussines/www.immoricon.com/storage/app/uploads/public/1da/e10/48b/thumb__700_400_0_0_crop.jpg	(from https://www.immoricon.com/services)
